Generation,ACG
438,15.91183879093199
439,14.118451025056947
440,14.21256038647343
441,14.267469879518073
442,14.202702702702704
443,12.992874109263658
444,13.630952380952381
445,14.367441860465116
446,15.37192118226601
447,15.486702127659575
448,15.04611650485437
449,13.865248226950355
450,15.004566210045661
451,14.894366197183098
452,15.69406392694064
453,15.463700234192038
454,14.80593607305936
455,17.07075471698113
456,15.684931506849315
457,14.633333333333333
458,14.068493150684931
459,15.71566265060241
460,15.372262773722628
461,15.659722222222221
462,15.206976744186047
463,13.558086560364465
464,13.527906976744186
465,16.08101851851852
466,16.63917525773196
467,15.292270531400966
468,15.943589743589744
469,15.241217798594848
470,16.989501312335957
471,13.910344827586206
472,14.262295081967213
473,13.682038834951456
474,12.770392749244714
475,11.758186397984886
476,13.053030303030303
477,12.897674418604652
478,14.11358024691358
479,14.31578947368421
480,14.853881278538813
481,14.491954022988505
482,14.904328018223234
483,12.977064220183486
484,13.375854214123008
485,11.877551020408163
486,13.913348946135832
487,13.997668997668997
488,14.866050808314087
489,14.094252873563219
490,12.80188679245283
491,14.56904761904762
492,13.730120481927711
493,14.075342465753424
494,11.872437357630979
495,12.5
496,13.295612009237875
497,13.423167848699764
498,14.288095238095238
499,14.444444444444445
500,15.13076923076923
501,13.916267942583731
502,14.455635491606715
503,15.881796690307329
504,14.84862385321101
505,15.830275229357799
506,16.105515587529975
507,16.024271844660195
508,15.191489361702128
509,13.855421686746988
510,13.140589569160998
511,13.98356807511737
512,13.829157175398633
513,14.82394366197183
514,15.12200956937799
515,14.536130536130536
516,13.730478589420654
517,15.256880733944953
518,14.96124031007752
519,13.564039408866995
520,13.26378896882494
521,12.547785547785548
522,12.810185185185185
523,13.63718820861678
524,13.39277108433735
525,13.311926605504587
526,14.851318944844124
527,14.364532019704434
528,15.453237410071942
529,15.103044496487119
530,15.894088669950738
531,15.995412844036696
532,14.392670157068062
533,14.405466970387243
534,14.802030456852792
535,13.509389671361502
536,13.722084367245657
537,13.39041095890411
538,14.858156028368795
539,15.662790697674419
540,14.688073394495413
541,15.558086560364465
542,14.734299516908212
543,15.294906166219839
544,14.227790432801822
545,14.505827505827506
546,14.032745591939547
547,12.993197278911564
548,12.210526315789474
549,13.917241379310346
550,14.371980676328503
551,13.111904761904762
552,13.961995249406176
553,13.953703703703704
554,14.94484412470024
555,12.960739030023095
556,13.208333333333334
557,13.619266055045872
558,14.59338061465721
559,13.737089201877934
560,13.909930715935335
561,15.894366197183098
562,15.487179487179487
563,15.2225
564,14.279069767441861
565,12.908866995073891
